anchor_mode	mtp_dd_exit_ticks	source_id	step_dist	max_levels	max_total_position	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed	avg_cycle_duration_bars	n_mtp_dd_exit_cycles
frozen	0	bar_data_250vol_rot	7.0	1	2	2.2037	624	0.9583	10537.0	8569.0	0.049	8569.0	0.0	0.0958	1.2297	0.0097	94.44	14206	0	0.0	0
frozen	0	bar_data_250tick_rot	4.5	1	1	1.8413	360	0.9972	4489.0	5336.0	0.0441	5336.0	0.0	0.0051	0.8413	0.0	92.86	19998	0	0.0	0
frozen	0	bar_data_10sec_rot	10.0	1	4	1.7218	368	0.9212	11363.0	13981.0	0.0396	13981.0	27.72	0.1473	0.8127	0.0121	86.67	21735	0	0.0	0
walking	0	bar_data_250vol_rot	7.0	1	2	0.741	7542	0.7304	-66506.0	66836.0	-0.0821	4033.0	0.0	0.2735	-0.9951	-0.0585	13.51	73967	66539	9.8	0
walking	0	bar_data_250tick_rot	4.5	1	1	0.7099	11858	0.572	-66939.0	67170.0	-0.1078	2108.0	0.0	0.5311	-0.9966	-0.1006	10.81	72900	61085	6.2	0
walking	0	bar_data_10sec_rot	10.0	1	4	0.858	2907	0.8438	-20818.0	30216.0	-0.0344	2618.0	23.63	0.1588	-0.689	-0.0207	40.0	65895	70200	25.1	0
frozen_stop	-40	bar_data_250vol_rot	7.0	1	2	0.697	12239	0.586	-108308.0	108439.0	-0.156	1425.0	0.0	0.4924	-0.9988	-0.3215	0.0	73698	66539	6.0	5066
frozen_stop	-40	bar_data_250tick_rot	4.5	1	1	0.7342	13514	0.627	-77964.0	78161.0	-0.1264	1674.0	0.0	0.4368	-0.9975	-0.2218	5.41	69554	61085	5.1	5040
frozen_stop	-40	bar_data_10sec_rot	10.0	1	4	0.7375	5288	0.5004	-46294.0	46347.0	-0.117	1342.0	0.0	0.7364	-0.9989	-0.2133	13.33	70013	70200	13.8	2642
frozen_stop	-60	bar_data_250vol_rot	7.0	1	2	0.7057	11029	0.658	-104732.0	104815.0	-0.1348	2867.0	0.0	0.3668	-0.9992	-0.1806	2.7	73863	66539	6.7	3704
frozen_stop	-60	bar_data_250tick_rot	4.5	1	1	0.743	10368	0.6946	-63861.0	64004.0	-0.1158	1674.0	0.0	0.3267	-0.9978	-0.198	10.81	68283	61085	6.6	3165
frozen_stop	-60	bar_data_10sec_rot	10.0	1	4	0.788	4667	0.6111	-38037.0	38586.0	-0.0871	1342.0	2.25	0.5016	-0.9858	-0.1362	10.0	70351	70200	15.7	1815
frozen_stop	-80	bar_data_250vol_rot	7.0	1	2	0.7224	10274	0.7002	-95726.0	96012.0	-0.1215	2867.0	0.0	0.3092	-0.997	-0.1585	2.7	73838	66539	7.2	2959
frozen_stop	-80	bar_data_250tick_rot	4.5	1	1	0.7719	8325	0.7446	-47799.0	48055.0	-0.096	1663.0	0.0	0.2647	-0.9947	-0.1573	8.11	67280	61085	8.1	2125
frozen_stop	-80	bar_data_10sec_rot	10.0	1	4	0.8325	4319	0.6666	-28998.0	29532.0	-0.0642	2488.0	4.14	0.4164	-0.9819	-0.0913	20.0	70361	70200	16.9	1430
