sd,hs,time_block,cycle_count,win_rate,net_er,total_net_pnl
10.00,60.00,09:30-10:00,5001,0.75,-0.33,-1638.00
10.00,60.00,10:00-10:30,3277,0.77,10.36,33940.50
10.00,60.00,10:30-11:00,2092,0.75,-7.63,-15953.00
10.00,60.00,11:00-11:30,1409,0.74,-13.90,-19592.00
10.00,60.00,11:30-12:00,1318,0.77,10.53,13876.50
10.00,60.00,12:00-12:30,1097,0.75,-0.76,-833.00
10.00,60.00,12:30-13:00,1018,0.76,3.60,3662.50
10.00,60.00,13:00-13:30,874,0.75,-2.73,-2390.00
10.00,60.00,13:30-14:00,852,0.78,16.95,14438.00
10.00,60.00,14:00-14:30,842,0.79,27.04,22771.50
10.00,60.00,14:30-15:00,813,0.77,15.07,12255.50
10.00,60.00,15:00-15:30,787,0.75,-0.70,-547.00
10.00,60.00,15:30-15:50,567,0.77,27.16,15402.50
15.00,150.00,09:30-10:00,1814,0.84,10.04,18208.00
15.00,150.00,10:00-10:30,1152,0.85,23.18,26703.00
15.00,150.00,10:30-11:00,695,0.80,-64.01,-44486.00
15.00,150.00,11:00-11:30,497,0.85,28.28,14056.00
15.00,150.00,11:30-12:00,459,0.86,53.60,24600.50
15.00,150.00,12:00-12:30,354,0.82,-25.25,-8939.50
15.00,150.00,12:30-13:00,345,0.84,3.90,1344.00
15.00,150.00,13:00-13:30,301,0.83,-2.29,-689.50
15.00,150.00,13:30-14:00,299,0.85,25.33,7574.50
15.00,150.00,14:00-14:30,285,0.82,-25.63,-7304.00
15.00,150.00,14:30-15:00,274,0.88,80.92,22172.00
15.00,150.00,15:00-15:30,256,0.79,-64.39,-16483.00
15.00,150.00,15:30-15:50,190,0.75,36.16,6870.00
20.00,160.00,09:30-10:00,1120,0.80,5.04,5645.50
20.00,160.00,10:00-10:30,684,0.80,-9.65,-6601.00
20.00,160.00,10:30-11:00,473,0.79,-22.93,-10846.00
20.00,160.00,11:00-11:30,334,0.83,60.52,20212.50
20.00,160.00,11:30-12:00,301,0.83,63.73,19183.50
20.00,160.00,12:00-12:30,248,0.81,17.31,4293.00
20.00,160.00,12:30-13:00,230,0.83,57.85,13304.50
20.00,160.00,13:00-13:30,192,0.85,104.61,20085.00
20.00,160.00,13:30-14:00,190,0.82,25.21,4790.00
20.00,160.00,14:00-14:30,180,0.81,18.59,3347.00
20.00,160.00,14:30-15:00,184,0.86,127.82,23518.50
20.00,160.00,15:00-15:30,147,0.76,-57.65,-8474.00
20.00,160.00,15:30-15:50,117,0.68,21.05,2462.50
25.00,125.00,09:30-10:00,844,0.71,-17.05,-14386.00
25.00,125.00,10:00-10:30,550,0.73,21.37,11753.50
25.00,125.00,10:30-11:00,349,0.68,-66.20,-23105.00
25.00,125.00,11:00-11:30,243,0.70,-38.07,-9250.00
25.00,125.00,11:30-12:00,223,0.78,111.22,24803.00
25.00,125.00,12:00-12:30,180,0.76,74.51,13411.00
25.00,125.00,12:30-13:00,182,0.74,43.68,7950.50
25.00,125.00,13:00-13:30,143,0.73,43.33,6195.50
25.00,125.00,13:30-14:00,139,0.65,-103.28,-14356.00
25.00,125.00,14:00-14:30,119,0.66,-101.83,-12117.50
25.00,125.00,14:30-15:00,131,0.76,81.57,10685.50
25.00,125.00,15:00-15:30,128,0.64,-111.96,-14331.50
25.00,125.00,15:30-15:50,110,0.67,120.68,13274.50
30.00,360.00,09:30-10:00,441,0.86,5.70,2512.50
30.00,360.00,10:00-10:30,273,0.87,58.02,15839.50
30.00,360.00,10:30-11:00,178,0.87,29.46,5243.50
30.00,360.00,11:00-11:30,131,0.93,302.74,39659.00
30.00,360.00,11:30-12:00,97,0.87,86.64,8404.50
30.00,360.00,12:00-12:30,83,0.82,-155.75,-12927.00
30.00,360.00,12:30-13:00,83,0.94,344.84,28622.00
30.00,360.00,13:00-13:30,62,0.89,177.39,10998.00
30.00,360.00,13:30-14:00,73,0.88,174.27,12722.00
30.00,360.00,14:00-14:30,71,0.85,-17.45,-1239.00
30.00,360.00,14:30-15:00,64,0.94,375.50,24032.00
30.00,360.00,15:00-15:30,70,0.74,-102.75,-7192.50
30.00,360.00,15:30-15:50,40,0.60,96.71,3868.50
50.00,300.00,09:30-10:00,235,0.78,110.86,26051.50
50.00,300.00,10:00-10:30,146,0.80,195.41,28530.50
50.00,300.00,10:30-11:00,83,0.73,-65.28,-5418.50
50.00,300.00,11:00-11:30,58,0.74,-27.84,-1614.50
50.00,300.00,11:30-12:00,46,0.72,50.57,2326.00
50.00,300.00,12:00-12:30,46,0.78,185.46,8531.00
50.00,300.00,12:30-13:00,36,0.83,479.04,17245.50
50.00,300.00,13:00-13:30,38,0.76,124.33,4724.50
50.00,300.00,13:30-14:00,31,0.84,387.24,12004.50
50.00,300.00,14:00-14:30,30,0.80,166.43,4993.00
50.00,300.00,14:30-15:00,29,0.69,3.97,115.00
50.00,300.00,15:00-15:30,32,0.47,-459.19,-14694.00
50.00,300.00,15:30-15:50,17,0.65,161.65,2748.00
