reversion_target,stop_level,entries,target_wins,stop_losses,session_end,win_rate,stop_rate,sess_end_rate,median_bars_to_target,ev_per_trade
4,8,1260,820,439,1,65.08,34.84,0.08,119,-0.18
4,16,1260,997,262,1,79.13,20.79,0.08,146,-0.16
4,24,1260,1056,203,1,83.81,16.11,0.08,165,-0.51
4,32,1260,1101,157,2,87.38,12.46,0.16,181,-0.49
8,8,1260,606,652,2,48.1,51.75,0.16,293,-0.29
8,16,1260,806,451,3,63.97,35.79,0.24,398,-0.61
8,24,1260,900,357,3,71.43,28.33,0.24,462,-1.09
8,32,1260,981,274,5,77.86,21.75,0.4,556,-0.73
12,8,1260,472,786,2,37.46,62.38,0.16,514,-0.5
12,16,1260,678,578,4,53.81,45.87,0.32,738,-0.88
12,24,1260,786,467,7,62.38,37.06,0.56,899,-1.41
12,32,1260,871,380,9,69.13,30.16,0.71,1080,-1.36
16,8,1260,385,872,3,30.56,69.21,0.24,846,-0.65
16,16,1260,584,668,8,46.35,53.02,0.63,1080,-1.07
16,24,1260,698,550,12,55.4,43.65,0.95,1322,-1.61
16,32,1260,785,461,14,62.3,36.59,1.11,1669,-1.74
20,8,1260,319,937,4,25.32,74.37,0.32,1158,-0.89
20,16,1260,510,740,10,40.48,58.73,0.79,1499,-1.3
20,24,1260,629,616,15,49.92,48.89,1.19,2017,-1.75
20,32,1260,715,528,17,56.75,41.9,1.35,2415,-2.06
