factor,bucket,sample_count,completion_rate,median_value
timeofday_PT25,09:30,599,60.27,0.0
timeofday_PT25,10:00,430,63.26,0.0
timeofday_PT25,10:30,348,62.93,0.0
timeofday_PT25,11:00,335,63.58,0.0
timeofday_PT25,11:30,278,65.47,0.0
timeofday_PT25,12:00,234,65.81,0.0
timeofday_PT25,12:30,221,61.54,0.0
timeofday_PT25,13:00,184,61.41,0.0
timeofday_PT25,13:30,172,64.53,0.0
timeofday_PT25,14:00,170,64.12,0.0
timeofday_PT25,14:30,189,68.78,0.0
timeofday_PT25,15:00,138,69.57,0.0
timeofday_PT25,15:30,205,65.37,0.0
timeofday_PT25,16:00,74,55.41,0.0
timeofday_PT40,09:30,234,64.53,0.0
timeofday_PT40,10:00,160,68.12,0.0
timeofday_PT40,10:30,130,60.0,0.0
timeofday_PT40,11:00,124,58.87,0.0
timeofday_PT40,11:30,111,59.46,0.0
timeofday_PT40,12:00,80,61.25,0.0
timeofday_PT40,12:30,95,64.21,0.0
timeofday_PT40,13:00,75,58.67,0.0
timeofday_PT40,13:30,67,62.69,0.0
timeofday_PT40,14:00,67,67.16,0.0
timeofday_PT40,14:30,76,71.05,0.0
timeofday_PT40,15:00,48,75.0,0.0
timeofday_PT40,15:30,75,60.0,0.0
timeofday_PT40,16:00,25,72.0,0.0
