rbi,reason
2173,SEQ_FILTER
5660,SEQ_FILTER
5799,IN_POSITION
5820,IN_POSITION
8602,IN_POSITION
8624,IN_POSITION
8649,SEQ_FILTER
8707,SEQ_FILTER
12968,IN_POSITION
12997,IN_POSITION
13062,IN_POSITION
21555,IN_POSITION
24229,IN_POSITION
45239,IN_POSITION
47385,SEQ_FILTER
48933,IN_POSITION
54581,IN_POSITION
54961,IN_POSITION
54961,IN_POSITION
55511,IN_POSITION
55799,IN_POSITION
56516,IN_POSITION
56516,IN_POSITION
56516,IN_POSITION
58045,IN_POSITION
61817,IN_POSITION
72953,IN_POSITION
72974,IN_POSITION
73277,SEQ_FILTER
94475,IN_POSITION
94511,IN_POSITION
94552,IN_POSITION
96220,LIMIT_EXPIRED
102014,IN_POSITION
116162,IN_POSITION
116191,IN_POSITION
116228,IN_POSITION
116276,IN_POSITION
116286,IN_POSITION
116311,IN_POSITION
116334,SEQ_FILTER
116345,IN_POSITION
116707,IN_POSITION
117128,IN_POSITION
118721,IN_POSITION
119044,IN_POSITION
121767,IN_POSITION
121821,IN_POSITION
123802,IN_POSITION
127252,IN_POSITION
127457,IN_POSITION
127763,SEQ_FILTER
131101,IN_POSITION
131123,IN_POSITION
131229,SEQ_FILTER
137960,IN_POSITION
138413,IN_POSITION
138448,IN_POSITION
